Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
38869,PO BOX,SHERMAN,MS,PRIMARY,34.35,-88.83,NA-US-MS-SHERMAN,false,,,
39360,STANDARD,SHUBUTA,MS,PRIMARY,31.86,-88.7,NA-US-MS-SHUBUTA,false,1644,3048,42304080
39361,STANDARD,SHUQUALAK,MS,PRIMARY,32.97,-88.56,NA-US-MS-SHUQUALAK,false,651,1133,12615413
39165,PO BOX,SIBLEY,MS,PRIMARY,31.39,-91.37,NA-US-MS-SIBLEY,false,,,
38954,STANDARD,SIDON,MS,PRIMARY,33.4,-90.2,NA-US-MS-SIDON,false,560,1032,11748712
39115,PO BOX,MIDNIGHT,MS,PRIMARY,33.06,-90.56,NA-US-MS-MIDNIGHT,false,,,
39166,STANDARD,SILVER CITY,MS,PRIMARY,33.09,-90.49,NA-US-MS-SILVER CITY,false,,,
39663,STANDARD,SILVER CREEK,MS,PRIMARY,31.6,-90,NA-US-MS-SILVER CREEK,false,1080,2032,33288790
38628,STANDARD,FALCON,MS,PRIMARY,34.39,-90.25,NA-US-MS-FALCON,false,,,
38670,STANDARD,SLEDGE,MS,PRIMARY,34.43,-90.22,NA-US-MS-SLEDGE,false,547,998,10362337
39664,STANDARD,SMITHDALE,MS,PRIMARY,31.33,-90.68,NA-US-MS-SMITHDALE,false,834,1622,26568054
38870,STANDARD,SMITHVILLE,MS,PRIMARY,34.06,-88.39,NA-US-MS-SMITHVILLE,false,1224,2366,38736940
39665,STANDARD,SONTAG,MS,PRIMARY,31.65,-90.18,NA-US-MS-SONTAG,false,378,719,12227250
39480,STANDARD,SOSO,MS,PRIMARY,31.75,-89.27,NA-US-MS-SOSO,false,1137,2160,35475538
38671,STANDARD,SOUTHAVEN,MS,PRIMARY,34.97,-89.99,NA-US-MS-SOUTHAVEN,false,16341,28707,541448563
38672,STANDARD,SOUTHAVEN,MS,PRIMARY,34.97,-89.99,NA-US-MS-SOUTHAVEN,false,4226,8609,237483563
39167,PO BOX,STAR,MS,PRIMARY,32.12,-90.13,NA-US-MS-STAR,false,,,
39759,STANDARD,STARKVILLE,MS,PRIMARY,33.45,-88.82,NA-US-MS-STARKVILLE,false,14326,24708,449177920
39760,PO BOX,STARKVILLE,MS,PRIMARY,33.45,-88.82,NA-US-MS-STARKVILLE,false,676,1144,18819483
39362,STANDARD,STATE LINE,MS,PRIMARY,31.43,-88.47,NA-US-MS-STATE LINE,false,1048,2025,29741097
39766,STANDARD,STEENS,MS,PRIMARY,33.57,-88.31,NA-US-MS-STEENS,false,1122,2097,34743223
39767,STANDARD,STEWART,MS,PRIMARY,33.53,-89.49,NA-US-MS-STEWART,false,302,587,8162530
38776,PO BOX,STONEVILLE,MS,PRIMARY,33.4,-90.94,NA-US-MS-STONEVILLE,false,,,
39363,STANDARD,STONEWALL,MS,PRIMARY,32.13,-88.79,NA-US-MS-STONEWALL,false,740,1355,20139912
39460,PO BOX,MOSS,MS,PRIMARY,31.84,-89.15,NA-US-MS-MOSS,false,,,
